127.0.0.1 - - [27/Mar/2026:12:02:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:08 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:08 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:12 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:29 +0530] "GET /apple-touch-icon.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:29 +0530] "GET /Web_Project/WelcomeCtl HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:29 +0530] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:32 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:33 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:33 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:34 +0530] "GET /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:35 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:35 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:35 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:35 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:52 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:02:52 +0530] "GET /ORSProject-04/ErrorCtl HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:03:14 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:03:14 +0530] "GET /ORSProject-04/ErrorCtl HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:06:29 +0530] "GET /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:06:29 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:06:29 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:06:35 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:06:35 +0530] "GET /ORSProject-04/ErrorCtl HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:33 +0530] "GET /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:33 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:33 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:35 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:35 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:37 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:37 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:37 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:37 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:48 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:48 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:48 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:53 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:53 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:08:53 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:00 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3078
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:00 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:00 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:08 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:08 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:08 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:16 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:16 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:16 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:21 +0530] "POST /ORSProject-04/UserRegistrationCtl HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:21 +0530] "GET /ORSProject-04/js/checkbox.js HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:21 +0530] "GET /ORSProject-04/js/datepicker.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:23 +0530] "GET /ORSProject-04/LoginCtl HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [27/Mar/2026:12:09:26 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 175
